trial_uid,binary_success_label,start_year,phase_numeric,num_arms,is_randomized,is_multi_center,country_count,is_multi_country,intervention_type,is_combination_therapy,sponsor_type,sponsor_trial_count_total,sponsor_trial_count_last_5y,sponsor_success_rate_historical,is_top_10_sponsor,target_primary,target_category,target_trial_count_total,target_trial_count_last_5y,target_success_rate_historical,is_novel_target
NCT00395252,1,2006,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,cetuximab erbitux and gemcitabine,drug,0,0,NA,1
NCT00397787,1,2006,2,NA,0,0,1,0,DRUG,0,academic,14,13,0.667,1,sunitinib malate,drug,0,0,NA,1
NCT00398086,1,2006,1,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,8,8,0.667,0
NCT00410774,0,2006,1,NA,0,0,1,0,BIOLOGICAL,1,academic,1,1,1,0,bevacizumab,biological,6,6,0.5,0
NCT00414570,0,2006,0.5,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,18 f flt pet scan,drug,0,0,NA,1
NCT00415454,0,2006,1,NA,0,0,1,0,GENETIC,0,unknown,0,0,NA,0,ad5 ycd muttksr39rep adp,genetic,0,0,NA,1
NCT00416793,0,2006,2,NA,0,0,1,0,DRUG,1,academic,14,13,0.667,1,bortezomib,drug,1,1,NA,0
NCT00417287,0,2006,2,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,px 12,drug,0,0,NA,1
NCT00426127,0,2007,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,docetaxel,drug,0,0,NA,1
NCT00429858,0,2007,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,s 1,drug,0,0,NA,1
NCT00438256,1,2007,1,NA,0,0,1,0,PROCEDURE,1,academic,2,2,0,0,proton beam radiation,procedure,0,0,NA,1
NCT00456599,1,2007,2,NA,0,0,2,1,DRUG,1,academic,3,3,0,0,gemcitabine,drug,12,12,0.5,0
NCT00460174,1,2007,2,NA,0,0,1,0,BIOLOGICAL,1,academic,1,1,0,0,bevacizumab,biological,10,10,0.25,0
NCT00462852,1,2007,2,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,dalteparin,drug,1,1,0,0
NCT00463840,0,2007,1,NA,0,0,1,0,DRUG,1,unknown,1,0,NA,0,oxaliplatin,drug,3,3,NA,0
NCT00470535,0,2007,2,NA,0,0,1,0,DRUG,1,academic,1,1,NA,0,erlotinib hydrochloride,drug,4,3,NA,0
NCT00471146,1,2007,3,NA,0,0,24,1,DRUG,0,big_pharma,3,2,1,0,ag 013736,drug,0,0,NA,1
NCT00482625,0,2007,2,NA,0,0,1,0,DRUG,1,academic,19,17,0.6,1,erlotinib hydrochloride,drug,4,3,NA,0
NCT00493441,0,2007,2,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,avn944,drug,0,0,NA,1
NCT00495924,1,2007,NA,NA,0,0,1,0,PROCEDURE,0,unknown,0,0,NA,0,pancreatic resection pd,procedure,0,0,NA,1
NCT00497224,1,2007,2,NA,0,0,1,0,DRUG,0,academic,2,2,NA,0,erlotinib,drug,0,0,NA,1
NCT00498225,1,2007,3,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,gemcitabine plus ts 1,drug,0,0,NA,1
NCT00515866,1,2007,1,NA,0,0,2,1,DRUG,0,big_pharma,2,2,NA,0,ku 0059436 azd2281 parp inhibitor,drug,0,0,NA,1
NCT00524069,0,2007,NA,NA,0,0,NA,0,BIOLOGICAL,1,academic,1,1,NA,0,bevacizumab,biological,10,10,0.25,0
NCT00529113,0,2007,1,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,bardoxolone methyl,drug,0,0,NA,1
NCT00536614,1,2007,2,NA,0,0,1,0,GENETIC,0,unknown,0,0,NA,0,cetuximab,genetic,7,7,0,0
NCT00536770,0,2007,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,placebo gemcitabine erlotinib,drug,0,0,NA,1
NCT00536874,1,2007,2,NA,0,0,1,0,DRUG,1,academic,4,3,NA,1,gemcitabine hydrochloride,drug,14,8,1,0
NCT00544908,0,2007,2,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,dasatinib,drug,0,0,NA,1
NCT00550836,1,2007,2,NA,0,0,1,0,BIOLOGICAL,1,academic,4,2,NA,1,panitumumab,biological,0,0,NA,1
NCT00553813,0,2007,2,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,tpi 287,drug,0,0,NA,1
NCT00556023,1,2007,1,NA,0,0,2,1,DRUG,0,big_pharma,2,2,NA,0,cp 675 206 and gemcitabine,drug,0,0,NA,1
NCT00557596,0,2007,1,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,aeg35156,drug,0,0,NA,1
NCT00561990,1,2007,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,nimotuzumab,drug,0,0,NA,1
NCT00564720,0,2007,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,12,12,0.5,0
NCT00569387,1,2007,2,NA,0,0,1,0,BIOLOGICAL,0,biotech,1,1,NA,0,hyperacute r pancreatic cancer vaccine,biological,0,0,NA,1
NCT00574275,0,2007,3,NA,0,0,24,1,DRUG,0,big_pharma,2,2,NA,0,aflibercept ziv aflibercept ave0005 vegf trap zaltrap,drug,0,0,NA,1
NCT00582699,1,2007,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,4,3,NA,1,assessment interview and blood draw,behavioral,0,0,NA,1
NCT00587132,0,2007,1,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,synthetic human secretin,drug,0,0,NA,1
NCT00593008,0,2007,1,NA,0,0,1,0,DRUG,0,academic,2,2,0,0,temsirolimus,drug,1,1,NA,0
NCT00601627,1,2008,2,NA,0,0,1,0,BIOLOGICAL,1,academic,5,3,1,1,panitumumab,biological,1,1,1,0
NCT00602745,0,2008,3,NA,0,0,17,1,DRUG,0,big_pharma,3,3,0,0,s 1,drug,1,1,0,0
NCT00614601,0,2008,2,NA,0,0,1,0,BIOLOGICAL,0,biotech,2,2,1,0,hyperacute r pancreatic cancer vaccine,biological,1,1,1,0
NCT00622622,1,2008,1,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,vegfr2 169 and gemcitabine,biological,0,0,NA,1
NCT00625586,0,2008,2,NA,0,0,1,0,BIOLOGICAL,1,unknown,0,0,NA,0,rav12,biological,0,0,NA,1
NCT00634725,1,2008,3,NA,0,0,1,0,DRUG,1,unknown,5,3,NA,1,capecitabine,drug,7,6,0.5,0
NCT00636883,0,2008,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,17,17,0.5,0
NCT00637364,0,2008,1,NA,0,0,1,0,PROCEDURE,0,biotech,0,0,NA,0,high intensity focused ultrasound hifu,procedure,0,0,NA,1
NCT00637728,0,2008,3,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,megestrol acetate concentrated suspension 110 mg ml,drug,0,0,NA,1
NCT00640978,0,2008,2,NA,0,0,1,0,DRUG,0,academic,6,4,1,1,rad001,drug,1,1,NA,0
NCT00642733,0,2008,4,NA,0,0,NA,0,DRUG,0,big_pharma,0,0,NA,0,erlotinib tarceva,drug,0,0,NA,1
NCT00660348,0,2008,NA,NA,0,0,1,0,DRUG,1,academic,9,9,0,1,morphine sulfate,drug,0,0,NA,1
NCT00661882,1,2008,NA,NA,0,0,1,0,OTHER,1,academic,1,1,NA,0,medical chart review,other,0,0,NA,1
NCT00662688,0,2008,3,NA,0,0,1,0,DRUG,0,unknown,5,3,NA,1,dalt parine,drug,0,0,NA,1
NCT00674973,1,2008,2,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,erlotinib,drug,1,1,1,0
NCT00679913,1,2008,3,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,standard pancreatoduodenectomy,procedure,0,0,NA,1
NCT00683085,0,2008,1,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,hla a 02 01 restricted vegfr1 derived peptide vaccination,biological,0,0,NA,1
NCT00684801,1,2008,NA,NA,0,0,1,0,OTHER,1,academic,1,1,NA,0,questionnaire administration,other,0,0,NA,1
NCT00726037,0,2008,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,ontak,drug,0,0,NA,1
NCT00728000,0,2008,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine,drug,17,17,0.5,0
NCT00733850,1,2008,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,kanglaite injection plus gemcitabine,drug,0,0,NA,1
NCT00769483,1,2008,1,NA,0,0,1,0,DRUG,0,academic,6,4,1,1,mk 0646,drug,0,0,NA,1
NCT00769652,0,2008,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,0,0,NA,0,medical nutrition therapy,behavioral,0,0,NA,1
NCT00783172,0,2008,1,NA,0,0,1,0,DRUG,1,academic,2,2,NA,0,gemcitabine,drug,17,17,0.5,0
NCT00785421,1,2008,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,enoxaparin,drug,0,0,NA,1
NCT00789633,1,2008,3,NA,0,0,5,1,DRUG,0,unknown,0,0,NA,0,masitinib,drug,0,0,NA,1
NCT00810719,1,2008,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,erlotinib,drug,1,1,1,0
NCT00813163,1,2008,2,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,pep02,drug,0,0,NA,1
NCT00831493,0,2009,1,NA,0,0,1,0,RADIATION,1,academic,10,7,0.667,1,chemoradiation radiation therapy,radiation,0,0,NA,1
NCT00836407,1,2009,1,NA,0,0,1,0,DRUG,1,academic,11,11,0,1,ipilimumab,drug,1,1,NA,0
NCT00837135,0,2009,1,NA,0,0,NA,0,OTHER,1,academic,0,0,NA,0,screening,other,0,0,NA,1
NCT00839332,1,2009,1,NA,0,0,6,1,DRUG,0,big_pharma,5,4,0,1,ly2603618,drug,0,0,NA,1
NCT00841035,0,2009,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,erlotinib,drug,3,3,1,0
NCT00855634,0,2009,NA,NA,0,0,1,0,PROCEDURE,0,academic,1,1,NA,0,resection of metastases,procedure,0,0,NA,1
NCT00867126,0,2009,0.5,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,pioglitazone hydrochloride,drug,0,0,NA,1
NCT00868114,0,2009,2,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,klh pulsed autologous dendritic cell vaccine,biological,0,0,NA,1
NCT00878657,0,2009,1,NA,0,0,1,0,DRUG,1,academic,1,1,0,0,gemcitabine hydrochloride,drug,20,11,1,0
NCT00882765,0,2009,2,NA,0,0,1,0,DIETARY_SUPPLEMENT,0,academic,0,0,NA,0,genistein,dietary_supplement,1,1,NA,0
NCT00889187,0,2009,1,NA,0,0,1,0,RADIATION,1,academic,4,4,NA,1,neoadjuvant short course photon radiation,radiation,0,0,NA,1
NCT00898781,0,2009,NA,NA,0,0,1,0,NA,0,academic,1,1,0,0,advanced disease,NA,55,55,0,0
NCT00899132,0,2009,NA,NA,0,0,1,0,GENETIC,1,academic,2,2,1,0,in situ hybridization,genetic,0,0,NA,1
NCT00902291,1,2009,2,NA,0,0,5,1,BIOLOGICAL,0,biotech,0,0,NA,0,ags 1c4d4,biological,0,0,NA,1
NCT00919282,1,2009,2,NA,0,0,1,0,DRUG,0,unknown,2,2,1,0,gemcitabine folinic acid 5 fu,drug,0,0,NA,1
NCT00922896,1,2009,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine cisplatin erlotinib tarceva,drug,0,0,NA,1
NCT00923299,1,2009,1,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,cetuximab,drug,10,9,0.333,0
NCT00936104,1,2009,NA,NA,0,0,1,0,NA,0,academic,0,0,NA,0,surgical,NA,2,2,NA,0
NCT00954525,1,2009,1,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,gemcitabine and erlotinib,drug,0,0,NA,1
NCT00965718,1,2009,2,NA,0,0,1,0,BIOLOGICAL,0,biotech,0,0,NA,0,activated t lymphocyte,biological,0,0,NA,1
NCT00966277,1,2009,4,NA,0,0,1,0,DRUG,0,academic,10,7,0.667,1,dalteparin,drug,2,1,0.5,0
NCT00968604,0,2009,1,NA,0,0,NA,0,GENETIC,0,academic,10,7,0.667,1,bikdd nanoparticle,genetic,0,0,NA,1
NCT00994721,1,2008,NA,NA,0,0,1,0,NA,0,academic,1,1,NA,0,resectable disease,NA,3,3,NA,0
NCT00998322,1,2009,2,NA,0,0,1,0,BIOLOGICAL,1,biotech,0,0,NA,0,reolysin,biological,0,0,NA,1
NCT01013649,1,2009,3,NA,0,0,4,1,RADIATION,1,academic,24,16,0.5,1,3 dimensional conformal radiation therapy,radiation,1,1,NA,0
NCT01016483,1,2009,1,NA,0,0,2,1,DRUG,0,unknown,0,0,NA,0,pimasertib,drug,0,0,NA,1
NCT01017822,0,2009,1,NA,0,0,NA,0,BIOLOGICAL,1,unknown,1,0,NA,0,conatumumab,biological,0,0,NA,1
NCT01019382,1,2009,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,lipidem fish oil infusion gemcitabine chemotherapy,drug,0,0,NA,1
NCT01025570,0,2009,1,NA,0,0,1,0,DRUG,0,academic,3,3,0.5,0,gemcitabine bosutinib,drug,0,0,NA,1
NCT01025882,0,2009,1,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,gemcitabine hydrochloride,drug,20,11,1,0
NCT01027221,1,2009,NA,NA,0,0,1,0,RADIATION,0,academic,0,0,NA,0,neoadjuvant photon radiation,radiation,0,0,NA,1
NCT01042028,0,2010,1,NA,1,0,1,0,DRUG,0,unknown,0,0,NA,0,everolimus cetuximab irinotecan,drug,0,0,NA,1
NCT01050283,0,2010,1,NA,0,0,NA,0,PROCEDURE,0,big_pharma,0,0,NA,0,comparator 18f fdg pet ct and volumetric ct,procedure,0,0,NA,1
NCT01050426,0,2009,2,NA,0,0,1,0,OTHER,0,unknown,1,1,NA,0,uft leucovorin,other,0,0,NA,1
NCT01056601,0,2010,2,NA,0,0,1,0,DRUG,0,academic,1,1,0,0,bortezomib,drug,2,1,0,0
NCT01064622,1,2010,2,NA,0,0,1,0,DRUG,1,academic,25,13,0.571,1,gemcitabine hydrochloride,drug,22,10,0.5,0
NCT01068327,1,2010,1,NA,0,0,1,0,DRUG,1,academic,2,1,1,0,gemcitabine hydrochloride,drug,22,10,0.5,0
NCT01072981,1,2010,3,NA,0,0,1,0,BIOLOGICAL,1,biotech,3,3,0.5,0,hyperacute pancreas immunotherapy,biological,0,0,NA,1
NCT01080248,0,2010,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine,drug,27,25,0.364,0
NCT01086332,0,2010,1,NA,0,0,NA,0,DRUG,0,academic,1,1,0,0,nelfinavir,drug,0,0,NA,1
NCT01092689,0,2010,1,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,phip,drug,0,0,NA,1
NCT01094626,0,2010,NA,NA,0,0,NA,0,DRUG,0,unknown,0,0,NA,0,secretin,drug,0,0,NA,1
NCT01096732,0,2010,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gdc 0449,drug,0,0,NA,1
NCT01108458,0,2010,2,NA,0,0,1,0,DRUG,0,unknown,2,2,NA,0,pertuzumab,drug,0,0,NA,1
NCT01121848,1,2010,3,NA,1,0,1,0,DRUG,0,big_pharma,4,4,0,0,leucovorin,drug,0,0,NA,1
NCT01130142,1,2010,1,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,ipi 926 plus gemcitabine,drug,0,0,NA,1
NCT01144455,1,2010,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemzar gemcitabine,drug,0,0,NA,1
NCT01150630,1,2010,2,NA,0,0,1,0,DRUG,0,unknown,3,3,NA,0,capecitabine,drug,15,14,0.667,0
NCT01167738,0,2010,2,NA,0,0,1,0,DRUG,0,unknown,3,3,NA,0,capecitabine,drug,15,14,0.667,0
NCT01167816,0,2010,1,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,vidaza,drug,0,0,NA,1
NCT01192763,0,2010,1,NA,0,0,1,0,DRUG,1,academic,25,13,0.571,1,gamma secretase notch signalling pathway inhibitor ro4929097,drug,0,0,NA,1
NCT01198522,0,2010,1,NA,0,0,2,1,DRUG,1,unknown,0,0,NA,0,l19il2 monoclonal antibody cytokine fusion protein in combination with gemcitabine,drug,0,0,NA,1
NCT01204372,1,2010,2,NA,0,0,1,0,DRUG,0,unknown,1,1,1,0,gemcitabine trastuzumab erlotinib,drug,0,0,NA,1
NCT01206296,0,2010,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,intraperitoneal gemcitabine,drug,0,0,NA,1
NCT01210911,1,2010,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,27,25,0.364,0
NCT01231581,1,2010,2,NA,0,0,2,1,DRUG,0,big_pharma,0,0,NA,0,gsk1120212,drug,0,0,NA,1
NCT01280058,1,2011,2,NA,0,0,1,0,DRUG,1,academic,29,15,0.556,1,carboplatin,drug,0,0,NA,1
NCT01294358,1,2011,1,NA,0,0,1,0,DRUG,0,academic,29,15,0.556,1,gemcitabine,drug,30,22,0.385,0
NCT01296763,1,2011,1,NA,0,0,1,0,DRUG,0,academic,13,13,0.2,1,irinotecan,drug,0,0,NA,1
NCT01303029,1,2011,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine erlotinib,drug,0,0,NA,1
NCT01303159,0,2011,NA,NA,0,0,1,0,DEVICE,0,academic,0,0,NA,0,endoscopic bipolar radiofrequency probe endohpb,device,0,0,NA,1
NCT01313416,0,2011,2,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,ct 011,biological,0,0,NA,1
NCT01314027,0,2010,3,NA,0,0,4,1,DRUG,0,academic,1,1,NA,0,neoadjuvant chemotherapy with gemcitabine oxaliplatin,drug,0,0,NA,1
NCT01326364,0,2010,NA,NA,0,0,1,0,PROCEDURE,1,academic,1,1,NA,0,stereotactic body radiotherapy,procedure,1,1,NA,0
NCT01330823,0,2011,3,NA,0,0,1,0,DIETARY_SUPPLEMENT,0,academic,0,0,NA,0,l carnitine,dietary_supplement,0,0,NA,1
NCT01335945,0,2011,1,NA,0,0,1,0,PROCEDURE,0,biotech,0,0,NA,0,cryoablation,procedure,0,0,NA,1
NCT01335958,1,2011,1,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,dmuc5754a,drug,0,0,NA,1
NCT01342224,1,2011,1,NA,0,0,1,0,BIOLOGICAL,0,unknown,0,0,NA,0,tadalafil and vaccination,biological,0,0,NA,1
NCT01359007,0,2011,2,NA,0,0,1,0,DRUG,0,academic,2,1,0,0,irinotecan oxaliplatin leucovorin 5 fu,drug,0,0,NA,1
NCT01362582,0,2010,3,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,smof kabiven,drug,0,0,NA,1
NCT01373164,1,2011,1,NA,0,0,6,1,DRUG,0,big_pharma,6,3,0.5,1,galunisertib,drug,0,0,NA,1
NCT01385956,1,2011,1,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,som 230 lar,drug,0,0,NA,1
NCT01389440,1,2011,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine and erlotinib,drug,1,1,1,0
NCT01395563,0,2009,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,0,0,NA,0,strength training,behavioral,0,0,NA,1
NCT01401387,0,2011,4,NA,0,0,1,0,OTHER,0,unknown,0,0,NA,0,timing of start treatment with pancreatic enzymes,other,0,0,NA,1
NCT01410968,1,2011,1,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,vacc w poly iclc peptide pulsed dendritic cells,drug,0,0,NA,1
NCT01413022,1,2011,1,NA,0,0,1,0,DRUG,1,academic,1,1,0,0,oxaliplatin,drug,4,1,0,0
NCT01413087,0,2011,2,NA,0,0,2,1,BIOLOGICAL,0,biotech,1,1,NA,0,biological vaccine bc 819,biological,0,0,NA,1
NCT01415713,1,2011,1,NA,0,0,1,0,DRUG,0,academic,3,2,1,0,s 1 leucovorin oxaliplatin gemcitabine,drug,0,0,NA,1
NCT01416662,1,2011,2,NA,0,0,1,0,DRUG,0,unknown,2,2,NA,0,gemcitabine hydrochloride,drug,25,11,0.667,0
NCT01419483,0,2011,NA,NA,0,0,1,0,DIETARY_SUPPLEMENT,0,academic,2,2,0,0,ketogenic diet,dietary_supplement,0,0,NA,1
NCT01423604,1,2011,2,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,capecitabine,drug,18,14,0.6,0
NCT01431794,0,2011,1,NA,0,0,1,0,DRUG,0,academic,13,13,0.2,1,lde225 600mg,drug,0,0,NA,1
NCT01434550,0,2011,NA,NA,0,0,NA,0,RADIATION,0,academic,1,1,NA,0,stereotactic body radiation therapy sbrt,radiation,0,0,NA,1
NCT01446458,1,2011,1,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,modified folfirinox,drug,0,0,NA,1
NCT01459614,1,2011,2,NA,0,0,1,0,DRUG,0,academic,13,13,0.2,1,gemcitabine,drug,30,22,0.385,0
NCT01461915,0,2011,2,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,nab paclitaxel,drug,0,0,NA,1
NCT01472198,1,2011,2,NA,0,0,2,1,DRUG,0,unknown,2,1,NA,0,simtuzumab,drug,0,0,NA,1
NCT01473303,0,2011,1,NA,0,0,NA,0,BIOLOGICAL,1,academic,7,3,1,1,ganitumab,biological,0,0,NA,1
NCT01484860,0,2011,2,NA,0,0,1,0,DRUG,0,academic,3,1,1,0,auy922,drug,0,0,NA,1
NCT01486329,1,2011,1,NA,0,0,1,0,BIOLOGICAL,0,unknown,0,0,NA,0,vxm01,biological,0,0,NA,1
