trial_uid,binary_success_label,start_year,phase_numeric,is_phase_1_2_combined,num_arms,is_randomized,is_multi_center,country_count,is_multi_country,intervention_type,is_combination_therapy,sponsor_type,sponsor_trial_count_total,sponsor_trial_count_last_5y,sponsor_success_rate_historical,is_top_10_sponsor,target_primary,target_category,target_trial_count_total,target_trial_count_last_5y,target_success_rate_historical,is_novel_target
NCT00003760,NA,1999,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,irofulven,drug,0,0,NA,1
NCT00003769,NA,1999,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,perillyl alcohol,drug,0,0,NA,1
NCT00003851,0,1999,NA,NA,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,proteolytic enzymes,biological,0,0,NA,1
NCT00004003,NA,1999,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,cisplatin,drug,0,0,NA,1
NCT00004087,NA,1999,1,0,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,filgrastim,biological,0,0,NA,1
NCT00004190,NA,2000,2,0,NA,0,0,2,1,DRUG,0,academic,0,0,NA,0,gemcitabine hydrochloride,drug,0,0,NA,1
NCT00004861,NA,2000,2,0,NA,0,0,2,1,DRUG,0,big_pharma,0,0,NA,0,gemcitabine hydrochloride,drug,0,0,NA,1
NCT00004884,NA,2000,2,0,NA,0,0,8,1,DRUG,0,unknown,0,0,NA,0,cisplatin,drug,2,2,NA,0
NCT00005053,NA,2000,2,0,NA,0,0,7,1,DRUG,0,unknown,0,0,NA,0,glufosfamide,drug,0,0,NA,1
NCT00005648,NA,2000,3,0,NA,0,0,NA,0,DRUG,0,big_pharma,0,0,NA,0,gemcitabine with r115777,drug,0,0,NA,1
NCT00005832,NA,2000,2,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,1,r115777,drug,0,0,NA,1
NCT00005843,NA,2000,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,tipifarnib,drug,0,0,NA,1
NCT00005869,NA,2000,3,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,gemcitabine hydrochloride,drug,0,0,NA,1
NCT00006117,NA,2000,2,0,NA,0,0,2,1,DRUG,0,unknown,0,0,NA,0,gemcitabine hydrochloride,drug,0,0,NA,1
NCT00008099,NA,2001,1,0,NA,0,0,1,0,BIOLOGICAL,0,academic,1,1,NA,0,muc1 antigen sb as 2,biological,0,0,NA,1
NCT00010062,NA,2001,2,0,NA,0,0,2,1,DRUG,1,unknown,1,1,NA,0,fluorouracil,drug,0,0,NA,1
NCT00016965,NA,2001,2,0,NA,0,0,1,0,DRUG,0,unknown,2,2,NA,1,ixabepilone,drug,0,0,NA,1
NCT00023972,NA,2001,3,0,NA,0,0,3,1,DRUG,0,unknown,0,0,NA,0,exatecan mesylate,drug,0,0,NA,1
NCT00024362,NA,2001,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,bbr 3464,drug,0,0,NA,1
NCT00024427,NA,2001,3,0,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,fluorouracil,drug,0,0,NA,1
NCT00025168,NA,2001,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,gemcitabine hydrochloride,drug,4,4,NA,0
NCT00026104,NA,2001,2,0,NA,0,0,1,0,DRUG,1,academic,1,1,NA,1,gemcitabine hydrochloride,drug,4,4,NA,0
NCT00026130,NA,2001,2,0,NA,0,0,1,0,DRUG,1,academic,1,1,NA,1,fluorouracil,drug,0,0,NA,1
NCT00026338,NA,2001,3,0,NA,0,0,19,1,DRUG,0,academic,0,0,NA,0,erlotinib hydrochloride,drug,0,0,NA,1
NCT00027521,0,2001,1,0,NA,0,0,NA,0,BIOLOGICAL,1,biotech,0,0,NA,0,bleomycin sulfate,biological,0,0,NA,1
NCT00028834,NA,2002,2,0,NA,0,0,1,0,DRUG,1,academic,2,2,NA,1,gemcitabine hydrochloride,drug,6,6,NA,0
NCT00030732,1,2002,3,0,NA,0,0,4,1,DRUG,0,academic,0,0,NA,0,gemcitabine capecitabine,drug,0,0,NA,1
NCT00031694,NA,2002,2,0,NA,0,0,1,0,DRUG,0,academic,2,2,NA,1,paclitaxel,drug,1,1,NA,0
NCT00031837,0,2002,3,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,dalteparin,drug,0,0,NA,1
NCT00032175,NA,2002,3,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,capecitabine,drug,0,0,NA,1
NCT00033735,NA,2002,3,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,fluorouracil,drug,3,3,NA,0
NCT00034827,NA,2002,2,0,NA,0,1,1,0,DRUG,0,big_pharma,1,1,NA,0,ci 1040,drug,0,0,NA,1
NCT00039403,NA,2002,1,0,NA,0,0,1,0,DRUG,1,academic,2,2,NA,1,7 hydroxystaurosporine,drug,0,0,NA,1
NCT00040092,NA,2002,3,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,virulizin,drug,0,0,NA,1
NCT00040183,1,2002,3,0,NA,0,0,17,1,DRUG,0,biotech,0,0,NA,0,tarceva erlotinib hcl osi 774,drug,0,0,NA,1
NCT00040833,NA,2002,2,0,NA,0,0,1,0,PROCEDURE,0,academic,1,1,NA,0,complementary or alternative medicine procedure,procedure,0,0,NA,1
NCT00041639,NA,2002,1,0,NA,0,0,4,1,DRUG,0,unknown,0,0,NA,0,hmn14 labetuzumab,drug,0,0,NA,1
NCT00042939,NA,2002,2,0,NA,0,0,NA,0,BIOLOGICAL,1,unknown,0,0,NA,0,cetuximab,biological,0,0,NA,1
NCT00045747,NA,2002,2,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,7 hydroxystaurosporine,drug,0,0,NA,1
NCT00047307,NA,2002,1,0,NA,0,0,1,0,DRUG,1,academic,2,2,NA,1,alvocidib,drug,0,0,NA,1
NCT00047710,NA,2002,1,0,NA,0,0,1,0,DRUG,1,academic,1,1,NA,0,bevacizumab,drug,0,0,NA,1
NCT00049348,NA,2002,2,0,NA,0,0,1,0,BIOLOGICAL,1,unknown,0,0,NA,0,epoetin alfa,biological,0,0,NA,1
NCT00051467,1,2003,3,0,NA,0,0,1,0,GENETIC,0,unknown,0,0,NA,0,tnferade,genetic,0,0,NA,1
NCT00052689,NA,2003,2,0,NA,0,0,1,0,DRUG,0,academic,6,6,NA,1,bortezomib,drug,0,0,NA,1
NCT00053222,NA,2003,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,arsenic trioxide,drug,0,0,NA,1
NCT00053924,NA,2003,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,perifosine,drug,0,0,NA,1
NCT00055250,NA,2003,2,0,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,gemcitabine,drug,0,0,NA,1
NCT00056537,NA,2003,1,0,NA,0,0,3,1,DRUG,0,biotech,0,0,NA,0,abr 217620,drug,0,0,NA,1
NCT00057876,NA,2003,3,0,NA,0,0,2,1,DRUG,1,unknown,2,2,NA,1,gemcitabine,drug,0,0,NA,1
NCT00058201,1,2003,3,0,NA,0,0,13,1,DRUG,1,academic,0,0,NA,0,fluorouracil,drug,4,4,NA,0
NCT00059826,NA,2003,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,2,2,NA,1,interferon alfa 2b,biological,0,0,NA,1
NCT00059982,NA,2003,2,0,NA,0,0,1,0,DRUG,0,unknown,2,2,NA,1,perifosine,drug,0,0,NA,1
NCT00060502,NA,2003,2,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,infliximab gemcitabine,drug,0,0,NA,1
NCT00063947,NA,2003,1,0,NA,0,0,1,0,DRUG,1,academic,6,6,NA,1,erlotinib hydrochloride,drug,1,1,NA,0
NCT00064051,NA,2003,2,0,NA,0,0,3,1,DRUG,0,biotech,0,0,NA,0,gemcitabine hydrochloride,drug,7,7,NA,0
NCT00064207,NA,2003,2,0,NA,0,0,6,1,DRUG,1,unknown,2,2,NA,1,gemcitabine hydrochloride,drug,7,7,NA,0
NCT00066677,0,2003,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,rhumab vegf,drug,0,0,NA,1
NCT00068432,NA,2003,2,0,NA,0,0,1,0,DRUG,0,academic,2,2,NA,1,celecoxib,drug,0,0,NA,1
NCT00075452,NA,2004,3,0,NA,0,0,1,0,DRUG,0,unknown,2,2,NA,1,gemcitabine hydrochloride,drug,9,9,NA,0
NCT00075647,NA,2004,2,0,NA,0,0,1,0,DRUG,1,academic,8,8,NA,1,temsirolimus,drug,0,0,NA,1
NCT00077519,NA,2004,1,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,tipifarnib,drug,1,1,NA,0
NCT00078975,NA,2004,2,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,gemcitabine hydrochloride,drug,9,9,NA,0
NCT00081549,NA,2004,1,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,aroplatin liposomal nddp l nddp,drug,0,0,NA,1
NCT00082862,NA,2004,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,recombinant interferon alfa,biological,0,0,NA,1
NCT00088660,NA,2004,3,0,NA,0,0,1,0,BIOLOGICAL,0,biotech,0,0,NA,0,panvac vf,biological,0,0,NA,1
NCT00088894,1,2004,3,0,NA,0,0,1,0,DRUG,1,academic,8,8,NA,1,gemcitabine hydrochloride,drug,9,9,NA,0
NCT00089024,NA,2004,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,fluorouracil,drug,5,5,1,0
NCT00091026,NA,2004,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,8,8,NA,1,cetuximab,biological,1,1,NA,0
NCT00094445,1,2004,2,0,NA,0,0,1,0,DRUG,0,academic,3,3,NA,1,curcumin,drug,0,0,NA,1
NCT00095966,NA,2004,2,0,NA,0,0,1,0,DRUG,0,academic,8,8,NA,1,sorafenib tosylate,drug,0,0,NA,1
NCT00099294,NA,2004,3,0,NA,0,0,11,1,DRUG,0,biotech,0,0,NA,0,glufosfamide,drug,1,1,NA,0
NCT00100815,NA,2005,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,bevacizumab,biological,1,1,NA,0
NCT00102700,NA,2005,2,0,NA,0,0,1,0,DRUG,1,big_pharma,0,0,NA,0,arq 501 in combination with gemcitabine,drug,0,0,NA,1
NCT00109941,NA,2005,2,0,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,opioid growth factor,biological,0,0,NA,1
NCT00111904,NA,2005,2,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,paclitaxel loaded polymeric micelle,drug,0,0,NA,1
NCT00112528,NA,2005,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,3,3,NA,1,bevacizumab,biological,1,1,NA,0
NCT00112580,NA,2005,2,0,NA,0,0,1,0,BIOLOGICAL,0,big_pharma,0,0,NA,0,ipilimumab,biological,0,0,NA,1
NCT00112658,1,2005,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,fluorouracil,drug,6,6,1,0
NCT00112697,1,2005,2,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,cisplatin,drug,3,1,NA,0
NCT00113256,0,2005,2,0,NA,0,0,1,0,DRUG,0,biotech,1,1,NA,0,rubitecan,drug,0,0,NA,1
NCT00114179,1,2005,2,0,NA,0,0,1,0,DRUG,1,academic,12,12,1,1,capecitabine,drug,1,1,NA,0
NCT00121745,0,2005,1,0,NA,0,0,1,0,GENETIC,0,biotech,0,0,NA,0,rexin g dose 1,genetic,0,0,NA,1
NCT00125021,NA,2005,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,capecitabine,drug,1,1,NA,0
NCT00126633,1,2005,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,bevacizumab,biological,1,1,NA,0
NCT00136669,NA,2005,3,0,NA,0,0,1,0,PROCEDURE,0,academic,3,2,NA,1,acupuncture,procedure,0,0,NA,1
NCT00137761,NA,2005,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,zd 1839,drug,0,0,NA,1
NCT00149578,NA,2005,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine oxaliplatin 5fu and leucovorin,drug,0,0,NA,1
NCT00154791,NA,2005,1,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,oxaliplatin,drug,0,0,NA,1
NCT00159471,0,2005,NA,NA,NA,0,0,1,0,DRUG,0,academic,1,0,0,0,capecitabine gemcitabine docetaxel,drug,0,0,NA,1
NCT00161213,NA,2005,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine hydrochloride,drug,12,12,1,0
NCT00176735,0,2005,NA,NA,NA,0,0,NA,0,DRUG,0,academic,0,0,NA,0,capecitabine,drug,1,1,NA,0
NCT00176813,NA,2005,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine,drug,2,2,NA,0
NCT00177853,0,2005,1,0,NA,0,0,1,0,DRUG,1,academic,2,1,NA,0,celecoxib,drug,1,1,NA,0
NCT00185588,NA,2005,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,vatalanib,drug,0,0,NA,1
NCT00191568,NA,2005,2,0,NA,0,0,1,0,DRUG,1,big_pharma,1,1,NA,0,gemcitabine,drug,2,2,NA,0
NCT00192712,NA,2005,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,irinotecan gemcitabine,drug,0,0,NA,1
NCT00192842,NA,2005,2,0,NA,0,0,NA,0,DRUG,0,unknown,0,0,NA,0,curcumin gemcitabine,drug,0,0,NA,1
