nct_id,title,study_type,phase,status,sponsor,classification,classification_reason
NCT00026104,Combination Chemotherapy Plus Radiation Therapy With or Without Tipifarnib in Treating Patients With Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00026130,Combination Chemotherapy and Radiation Therapy in Treating Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT00026403,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT00027521,Electroporation Therapy With Bleomycin in Treating Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE1,WITHDRAWN,Ichor Medical Systems Incorporated,therapeutic,Interventional study
NCT00028834,Bevacizumab and Gemcitabine in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00030732,Gemcitabine With or Without Capecitabine in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Swiss Cancer Institute,therapeutic,Interventional study
NCT00033735,Irofulven Compared With Fluorouracil in Treating Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Eisai Inc.,therapeutic,Interventional study
NCT00034827,"A Multicenter Phase 2 Study of CI-1040 in Patients With Advanced Nonsmall-Cell Lung, Breast, Colon and Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,Pfizer,therapeutic,Interventional study
NCT00040183,"OSI-774 (Tarceva) Plus Gemcitabine in Patients With Locally Advanced, Unresectable or Metastatic Pancreatic Cancer.",INTERVENTIONAL,PHASE3,COMPLETED,OSI Pharmaceuticals,therapeutic,Interventional study
NCT00040833,Acupuncture and Acupressure in Treating Patients With Moderate or Severe Pain Related to Stage III or Stage IV Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Memorial Sloan Kettering Cancer Center,therapeutic,Interventional study
NCT00042939,Irinotecan and Docetaxel With or Without Cetuximab in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Eastern Cooperative Oncology Group,therapeutic,Interventional study
NCT00047307,"Flavopiridol Plus Radiation Therapy Followed By Gemcitabine Hydrochloride in Treating Patients With Locally Advanced, Unresectable Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00051467,A Study of TNFerade™ Biologic With 5-FU and Radiation Therapy for First-Line Treatment of Unresectable Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,GenVec,therapeutic,Interventional study
NCT00052689,Bortezomib With or Without Gemcitabine in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00053222,Arsenic Trioxide in Treating Patients With Pancreatic Cancer That Has Not Responded to Gemcitabine,INTERVENTIONAL,PHASE2,COMPLETED,University of Chicago,therapeutic,Interventional study
NCT00053924,Perifosine in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"University Health Network, Toronto",therapeutic,Interventional study
NCT00055250,"A Study With LY293111, Gemcitabine and Placebo in Patients With Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,Eli Lilly and Company,therapeutic,Interventional study
NCT00056537,"ABR-217620 in Patients With Advanced Non-Small Cell Lung Cancer, Renal Clear Cell Carcinoma or Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,Active Biotech AB,therapeutic,Interventional study
NCT00058149,Gemcitabine With or Without Oxaliplatin in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Eastern Cooperative Oncology Group,therapeutic,Interventional study
NCT00058201,Two Chemotherapy Regimens Compared With Observation in Treating Patients With Completely Resected Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Royal Liverpool University Hospital,therapeutic,Interventional study
NCT00059826,Adjuvant Chemoradiotherapy and Interferon Alfa in Treating Patients With Resected Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT00064051,3-AP and Gemcitabine in Treating Patients With Unresectable or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Vion Pharmaceuticals,therapeutic,Interventional study
NCT00064207,Gemcitabine and Radiation Therapy Compared With Gemcitabine Alone in Treating Patients Who Have Undergone Surgery for Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,European Organisation for Research and Treatment of Cancer - EORTC,therapeutic,Interventional study
NCT00075647,CCI-779 in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00077519,Tipifarnib and Radiation Therapy in Treating Patients With Unresectable Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Abramson Cancer Center at Penn Medicine,therapeutic,Interventional study
NCT00081549,Aroplatin and Gemcitabine in Patients With Advanced Pancreatic Cancer Resistant to Standard Therapies,INTERVENTIONAL,PHASE1,UNKNOWN,Aronex Pharmaceuticals,therapeutic,Interventional study
NCT00088894,Gemcitabine With or Without Bevacizumab in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00089024,"Combination Chemotherapy, and Radiation Therapy in Treating Patients With Locally Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,University of Nebraska,therapeutic,Interventional study
NCT00094445,Trial of Curcumin in Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,M.D. Anderson Cancer Center,therapeutic,Interventional study
NCT00095966,Sorafenib and Gemcitabine in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00096070,"Radiotherapy Combined With Oxaliplatin and Fluorouracil Followed By Gemcitabine in Treating Patients With Locally Advanced, Unresectable Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00102700,ARQ 501 in Combination With Gemcitabine in Subjects With Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"ArQule, Inc., a subsidiary of Merck Sharp & Dohme LLC, a subsidiary of Merck & Co., Inc. (Rahway, NJ USA)",therapeutic,Interventional study
NCT00109941,Opioid Growth Factor in Treating Patients With Advanced Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE2,COMPLETED,Milton S. Hershey Medical Center,therapeutic,Interventional study
NCT00111904,Paclitaxel in Treating Patients With Unresectable Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Theradex,therapeutic,Interventional study
NCT00112580,MDX-010 in Treating Patients With Stage IV Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE2,COMPLETED,Bristol-Myers Squibb,therapeutic,Interventional study
NCT00112658,Combination Chemotherapy as First-Line Therapy in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,UNICANCER,therapeutic,Interventional study
NCT00112697,Radiation Therapy and Docetaxel With Either Fluorouracil or Cisplatin as First-Line Therapy in Treating Patients With Metastatic Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE2,COMPLETED,UNICANCER,therapeutic,Interventional study
NCT00113256,Orathecin + Gemcitabine Versus Placebo + Gemcitabine in Chemonaive Non-Resectable Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,"Astex Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT00121745,Evaluation of Safety of Rexin-G Gene Transfer for Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,TERMINATED,Epeius Biotechnologies,therapeutic,Interventional study
NCT00126633,"Gemcitabine, Cisplatin, and Bevacizumab in Treating Patients With Metastatic Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,"University of California, San Francisco",therapeutic,Interventional study
NCT00136669,Acupuncture For Pancreatic Cancer Pain,INTERVENTIONAL,PHASE3,COMPLETED,Memorial Sloan Kettering Cancer Center,therapeutic,Interventional study
NCT00154791,Phase I/II Trial GOFL in Advanced Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE1,COMPLETED,National Taiwan University Hospital,therapeutic,Interventional study
NCT00161213,Gemcitabine and Imatinib Mesylate as First-Line Therapy in Patients With Locally Adv. or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,University of Medicine and Dentistry of New Jersey,therapeutic,Interventional study
NCT00176813,"Gemcitabine, Cisplatin, and Celecoxib Treatment of Metastatic Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,University of Michigan Rogel Cancer Center,therapeutic,Interventional study
NCT00177853,"Celecoxib, Irinotecan and Concurrent Radiotherapy in Preoperative Pancreatic Cancer",INTERVENTIONAL,PHASE1,TERMINATED,University of Pittsburgh,therapeutic,Interventional study
NCT00192842,Gemcitabine With Curcumin for Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Rambam Health Care Campus,therapeutic,Interventional study
NCT00203892,Study of CAP1-6D in Patients With Locally Advanced or Surgically Resected Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE1,COMPLETED,University of Chicago,therapeutic,Interventional study
NCT00209677,Phase I/II Study of Oral S-1 Plus Gemcitabine in Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,SUSPENDED,Hokkaido Gastrointestinal Cancer Study Group,therapeutic,Interventional study
NCT00219557,AG-013736 In Combination With Gemcitabine Versus Gemcitabine Alone For Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Pfizer,therapeutic,Interventional study
NCT00225745,Ghrelin Levels in Pancreatic Cancer Patients,OBSERVATIONAL,Unknown,COMPLETED,Dartmouth-Hitchcock Medical Center,other,Does not match therapeutic or biomarker criteria
NCT00242190,"Gemcitabine, Oxaliplatin and Radiation Therapy in Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,University of Michigan Rogel Cancer Center,therapeutic,Interventional study
NCT00245362,A Phase II Trial of CG 8020 and CG 2505 in Patients With Nonresectable or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Cell Genesys,therapeutic,Interventional study
NCT00251355,"Gemcitabine, 5-Fluorouracil, and Radiation Therapy in the Treatment of Non-Metastatic Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,Dana-Farber Cancer Institute,therapeutic,Interventional study
NCT00253526,Gemcitabine Hydrochloride With or Without Bevacizumab in Treating Patients Who Are Undergoing Surgery for Pancreatic Cancer,INTERVENTIONAL,PHASE2,WITHDRAWN,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00261092,GEMOX: Oxaliplatin in Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Sanofi,therapeutic,Interventional study
NCT00262951,Chemoradiation in Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,"Masonic Cancer Center, University of Minnesota",therapeutic,Interventional study
NCT00265876,AZD0530 and Gemcitabine in Locally Advanced/Metastatic Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE1,COMPLETED,NCIC Clinical Trials Group,therapeutic,Interventional study
NCT00275119,"Gemcitabine and Oxaliplatin Followed By Radiation Therapy, Fluorouracil, and Oxaliplatin in Treating Patients With Locally Advanced Pancreatic Cancer That Cannot Be Removed By Surgery",INTERVENTIONAL,PHASE2,UNKNOWN,GERCOR - Multidisciplinary Oncology Cooperative Group,therapeutic,Interventional study
NCT00290693,Capecitabine and Docetaxel in Treating Patients With Recurrent or Progressive Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,University of Miami,therapeutic,Interventional study
NCT00296114,Pancreatic Cancer Serum and DNA Repository,OBSERVATIONAL,Unknown,COMPLETED,Pancreatic Cancer Research Team,other,Does not match therapeutic or biomarker criteria
NCT00310050,"Pemetrexed, Gemcitabine, and Radiation Therapy in Treating Patients With Locally Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE1,TERMINATED,Wake Forest University Health Sciences,therapeutic,Interventional study
NCT00316420,Gemcitabine and Capecitabine in Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Swedish Medical Center,therapeutic,Interventional study
NCT00323583,Weekly Dosing of an Integrative Chemotherapy Combination to Treat Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Seattle Cancer Treatment and Wellness Center,therapeutic,Interventional study
NCT00324428,TMS for the Treatment of Pancreatic Cancer Pain,INTERVENTIONAL,NA,COMPLETED,Beth Israel Deaconess Medical Center,therapeutic,Interventional study
NCT00326911,Cetuximab and Bevacizumab With or Without Gemcitabine to Treat Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,Eli Lilly and Company,therapeutic,Interventional study
NCT00331682,Docetaxel and Flavopiridol in Treating Patients With Refractory Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00335543,"Gemcitabine, Cisplatin, and Radiation Therapy Followed By Surgery or Surgery Alone in Treating Patients With Localized Pancreatic Cancer That Can Be Removed By Surgery",INTERVENTIONAL,PHASE2,COMPLETED,Interdisziplinare Arbeitsgruppe Gastrointestinaler Tumore der Deutschen Krebsgesellschaft,therapeutic,Interventional study
NCT00358566,GV1001 and Gemcitabine in Sequential Combination to Gemcitabine Monotherapy in Pancreatic Cancer,INTERVENTIONAL,PHASE3,TERMINATED,Pharmexa A/S,therapeutic,Interventional study
NCT00369460,Changes in Muscle Tissue in Patients With Pancreatic Cancer,OBSERVATIONAL,Unknown,COMPLETED,Case Comprehensive Cancer Center,other,Does not match therapeutic or biomarker criteria
NCT00372944,"AZD6244 vs. Capecitabine (Xeloda®) in Patients With Advanced or Metastatic Pancreatic Cancer, Who Have Failed First Line Gemcitabine Therapy",INTERVENTIONAL,PHASE2,COMPLETED,AstraZeneca,therapeutic,Interventional study
NCT00376948,"Genistein, Gemcitabine, and Erlotinib in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,Barbara Ann Karmanos Cancer Institute,therapeutic,Interventional study
NCT00383760,"Eribulin Mesylate as Second-Line Therapy for Locally Advanced, Unresectable, or Metastatic Pancreatic Cancer Patients",INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00386399,Study of Mitomycin-C in Patients With Advanced or Recurrent Pancreatic Cancer With Mutated BRCA2 Gene,INTERVENTIONAL,PHASE2,WITHDRAWN,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,therapeutic,Interventional study
NCT00395252,Safety and Efficacy Therapy of Gemcitabine and Erbitux® to R0 or R1 Resected Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Carmen Schade-Brittinger,therapeutic,Interventional study
NCT00408564,"Cetuximab, Gemcitabine, and Oxaliplatin Followed By Surgery or External-Beam Radiation Therapy and Capecitabine in Treating Patients With Locally Advanced, Nonmetastatic Pancreatic Cancer That Cannot Be Removed By Surgery",INTERVENTIONAL,PHASE2,COMPLETED,Medical University of South Carolina,therapeutic,Interventional study
NCT00410774,Gemcitabine and Bevacizumab in Treating Patients With Pancreatic Cancer That Has Been Completely Removed By Surgery,INTERVENTIONAL,PHASE1,TERMINATED,"University of California, San Francisco",therapeutic,Interventional study
NCT00414570,An Imaging Study of [18]F-fluoro-3'-Deoxy-3'-L-fluorothymidine ([18]F-FLT) in Patients With Locally Advanced or Metastatic Pancreatic Cancer Who Will be Treated With Gemcitabine or Other Nucleoside Analogs,INTERVENTIONAL,EARLY_PHASE1,TERMINATED,AHS Cancer Control Alberta,therapeutic,Interventional study
NCT00417209,Larotaxel Compared To Continuous Administration of 5-FU in Advanced Pancreatic Cancer Patients Previously Treated With A Gemcitabine-Containing Regimen,INTERVENTIONAL,PHASE3,COMPLETED,Sanofi,therapeutic,Interventional study
NCT00425360,Gemcitabine and Capecitabine With or Without Vaccine Therapy in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Royal Liverpool University Hospital,therapeutic,Interventional study
NCT00448838,"Cetuximab, Gemcitabine, and Oxaliplatin in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer",INTERVENTIONAL,NA,COMPLETED,University of Miami,therapeutic,Interventional study
NCT00460174,"Gemcitabine, Bevacizumab, and Abdominal Radiation Therapy in Treating Patients With Localized Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,Northwestern University,therapeutic,Interventional study
NCT00462852,Gemcitabine With or Without Dalteparin in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Hull University Teaching Hospitals NHS Trust,therapeutic,Interventional study
NCT00470535,Erlotinib in Treating Patients With Stage III or Stage IV Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,Roswell Park Cancer Institute,therapeutic,Interventional study
NCT00471146,Study Of Gemcitabine Plus AG-013736 Versus Gemcitabine For Advanced Pancreatic Cancer.,INTERVENTIONAL,PHASE3,COMPLETED,Pfizer,therapeutic,Interventional study
NCT00474812,Dasatinib in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00478010,"Making Decisions About Participating in a Cancer Clinical Trial for Patients With Stage II, Stage III, or Stage IV Pancreatic Cancer or Stage III or Stage IV Colon Cancer or Rectal Cancer",INTERVENTIONAL,NA,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,therapeutic,Interventional study
NCT00489671,Urine Cadmium Levels in Predicting Pancreatic Cancer Risk in Patients With Chronic Pancreatitis,OBSERVATIONAL,Unknown,COMPLETED,Wake Forest University Health Sciences,biomarker,Biomarker or molecular study
NCT00490373,Trial of Pemetrexed for Patients With Pancreatic Cancer Which Cannot be Treated With Surgery or is Metastatic,INTERVENTIONAL,PHASE2,COMPLETED,Eli Lilly and Company,therapeutic,Interventional study
NCT00495924,Perioperative Cancer Cell Dissemination and Systemic Immune Suppression in Resectable Ductal Pancreatic Adenocarcinoma,OBSERVATIONAL,Unknown,COMPLETED,KU Leuven,biomarker,Biomarker or molecular study
NCT00498225,Phase III of Gemcitabine Vs TS-1 Vs Gemcitabine Plus TS-1 in Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,"Taiho Pharmaceutical Co., Ltd.",therapeutic,Interventional study
NCT00499265,Gemcitabine With or Without WX-671 in Treating Patients With Locally Advanced Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE2,COMPLETED,Heidelberg Pharma AG,therapeutic,Interventional study
NCT00514163,GEM vs GEM+TS-1 for Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Japan Clinical Cancer Research Organization,therapeutic,Interventional study
NCT00521404,Open-label Study of CS-1008 for Subjects With Untreated and Unresectable Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Daiichi Sankyo,therapeutic,Interventional study
NCT00536874,Gemcitabine and Oxaliplatin in Treating Patients With Pancreatic Cancer That Can Be Removed By Surgery,INTERVENTIONAL,PHASE2,COMPLETED,Memorial Sloan Kettering Cancer Center,therapeutic,Interventional study
NCT00544908,Dasatinib in Treating Patients With Stage IV Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,City of Hope Medical Center,therapeutic,Interventional study
NCT00547144,Phase I/II Intratumoral DC Immunotherapy With Gemcitabine & XRT in Unresectable Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,George Albert Fisher,therapeutic,Interventional study
NCT00551057,Expression of Inflammatory Proteins in Pancreatic Cancer,OBSERVATIONAL,Unknown,UNKNOWN,University of Zurich,biomarker,Biomarker or molecular study
NCT00553813,"A Phase II Trial of TPI 287 in Patients Advanced, Unresectable Pancreatic Cancer",INTERVENTIONAL,PHASE2,TERMINATED,"Cortice Biosciences, Inc.",therapeutic,Interventional study
NCT00556023,"A Phase 1 Study Testing CP-675,206 In Combination With Gemcitabine In Patients With Previously Untreated, Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,AstraZeneca,therapeutic,Interventional study
NCT00559598,Blood Proteins in Finding Pancreatic Cancer and Extrahepatic Biliary Tract Cancer,OBSERVATIONAL,Unknown,COMPLETED,National Institutes of Health Clinical Center (CC),biomarker,Biomarker or molecular study
NCT00565487,Combination Study of Capecitabine and Erlotinib Concurrent With Radiotherapy for Non-Operable Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Milton S. Hershey Medical Center,therapeutic,Interventional study
NCT00568646,Phase 2 Study of Oral MKC-1 in Patients With Unresectable or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"CASI Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT00578279,Endoscopic Ultrasound-guided Celiac Plexus Neurolysis (EUS-CPN)With Alcohol in Unresectable Pancreatic Cancer: a Pilot Study,INTERVENTIONAL,PHASE4,COMPLETED,Indiana University,therapeutic,Interventional study
NCT00582699,"Depression, Cytokines and Pancreatic Cancer",OBSERVATIONAL,Unknown,COMPLETED,Memorial Sloan Kettering Cancer Center,other,Does not match therapeutic or biomarker criteria
NCT00585078,Capecitabine and Oxaliplatin in Patients With Advanced or Metastatic Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE2,COMPLETED,Beth Israel Deaconess Medical Center,therapeutic,Interventional study
NCT00587132,Secretin (ChiRhoStim) Pancreas Perfusion for Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE1,TERMINATED,Mayo Clinic,therapeutic,Interventional study
NCT00599833,Cetuximab and Radiation Therapy in Treating Patients With Locally Advanced Pancreatic Cancer That Cannot Be Removed by Surgery,INTERVENTIONAL,PHASE2,COMPLETED,The Christie NHS Foundation Trust,therapeutic,Interventional study
NCT00614601,Low Dose Vaccine Study for Surgically Resected Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,NewLink Genetics Corporation,therapeutic,Interventional study
NCT00614653,"Bevacizumab, Erlotinib and Capecitabine for Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,M.D. Anderson Cancer Center,therapeutic,Interventional study
NCT00617708,S0727 Gemcitabine Hydrochloride and Erlotinib Hydrochloride With or Without Monoclonal Antibody Therapy in Treating Patients With Metastatic Pancreatic Cancer That Cannot Be Removed By Surgery,INTERVENTIONAL,PHASE1,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT00630552,QUILT-2.019: A Study of AMG 655 or AMG 479 in Combination With Gemcitabine for Treatment of Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,"NantCell, Inc.",therapeutic,Interventional study
NCT00637247,A Randomized Study of Amplimexon (Imexon) With Gemcitabine in Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,AmpliMed Corporation,therapeutic,Interventional study
NCT00639925,Antiangiogenic Peptide Vaccine Therapy With Gemcitabine in Treating Patient With Pancreatic Cancer,INTERVENTIONAL,PHASE1,UNKNOWN,Fukushima Medical University,therapeutic,Interventional study
NCT00642733,A Study of First Line Treatment With Tarceva (Erlotinib) in Combination With Gemcitabine in Patients With Locally Advanced Unresectable or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE4,TERMINATED,Hoffmann-La Roche,therapeutic,Interventional study
